node,x_pos,T_hot,T_cold,x_cold,x_hot,regime_cold,regime_hot,P_cold,P_hot,H_cold,H_hot,U,h_hot,h_cold,q_cell,q_flux
119,4.76,590.3075159954395,590.3052359262879,1.0,0.0,superheated,subcooled,5995977.543621644,14912971.148541851,2944557.3333699466,1436808.7431482496,626.7726625176091,31054.609982191807,660.8190872404426,0.03661808963476626,1.4577264981992937
120,4.8,590.3073002904939,590.3050614200376,1.0,0.0,superheated,subcooled,5995940.84417093,14912240.916659111,2944558.051340761,1436808.719215889,626.7713565482684,31054.678970636982,660.8176042984618,0.03589854072434797,1.4290820352049352
121,4.84,590.3070846512888,590.3048829244669,1.0,0.0,superheated,subcooled,5995904.144470463,14911510.683762169,2944558.756337061,1436808.6957160123,626.7700583363088,31054.747967700878,660.8161299763537,0.03524981499802941,1.4032569664820627
122,4.88,590.306869070789,590.3047008319214,1.0,0.0,superheated,subcooled,5995867.444520817,14910780.449850872,2944559.4496358004,1436808.6726060542,626.7687671177005,31054.81697282502,660.8146634250751,0.034664936975127174,1.3799736056977379
123,4.92,590.3066535426497,590.3045154961045,1.0,0.0,superheated,subcooled,5995830.744322512,14910050.214925082,2944560.1323881643,1436808.649847642,626.7674822036705,31054.885985505898,660.8132038792136,0.03413761819084814,1.3589816158777126
124,4.96,590.3064380611513,590.3043272358848,1.0,0.0,superheated,subcooled,5995794.043876016,14909319.978984673,2944560.8056319547,1436808.6274061825,626.7662029732905,31054.95500528912,660.8117506487511,0.03366218950997154,1.340055314887402
125,5.0,590.306222621141,590.3041363387238,1.0,0.0,superheated,subcooled,5995757.343181747,14908589.742029525,2944561.470302758,1436808.605250489,626.7649288667936,31055.024031765537,660.8103031116362,0.03323354015039136,1.3229912480251338
126,5.04,590.3060072179684,590.303943063774,1.0,0.0,superheated,subcooled,5995720.642240085,14907859.504059533,2944562.1272440134,1436808.583352447,626.7636593795521,31055.093064566096,660.8088607070924,0.03284706277913779,1.3076060023542115
127,5.08,590.3057918474449,590.303747644662,1.0,0.0,superheated,subcooled,5995683.94105137,14907129.265074598,2944562.7772160876,1436808.5616867112,626.7623940566416,31055.16210335802,660.8074229295767,0.03249860372133462,1.2937342245754226
128,5.12,590.305576505792,590.3035502920062,1.0,0.0,superheated,subcooled,5995647.239615912,14906399.025074627,2944563.4209044576,1436808.540230432,626.7611324879501,31055.23114784139,660.8059893233454,0.03218441850213078,1.2812268511994738
129,5.16,590.3053611896074,590.3033511956797,1.0,0.0,superheated,subcooled,5995610.537933984,14905668.78405954,2944564.0589270853,1436808.5189630112,626.7598743037596,31055.30019774598,660.8045594775427,0.03190113138263698,1.26994949771644
130,5.2,590.3051458958189,590.3031505268568,1.0,0.0,superheated,subcooled,5995573.836005837,14904938.542029256,2944564.691841069,1436808.4978658785,626.7586191707732,31055.36925282795,660.8031330217873,0.03164569918869318,1.259781018658168
131,5.24,590.3049306216587,590.3029484398515,1.0,0.0,superheated,subcooled,5995537.133831694,14904208.298983706,2944565.3201486366,1436808.476922293,626.7573667885198,31055.438312867856,660.8017096221754,0.03141537837454612,1.2506121964389378
132,5.28,590.3047153646335,590.3027450737807,1.0,0.0,superheated,subcooled,5995500.431411756,14903478.054922821,2944565.9443025496,1436808.4561171625,626.7561168861268,31055.507377667513,660.8002889776958,0.03120769565966148,1.2423445724387532
133,5.32,590.304500122493,590.302540554058,1.0,0.0,superheated,subcooled,5995463.728746206,14902747.80984654,2944566.564710977,1436808.4354368816,626.7548692194018,31055.57644704811,660.7988708169859,0.031020421370502246,1.2348893857684016
134,5.36,590.3042848932097,590.3023349937471,1.0,0.0,superheated,subcooled,5995427.025835205,14902017.563754806,2944567.1817418854,1436808.4148691846,626.753623568207,31055.64552084908,660.7974548954138,0.030851545424575102,1.2281666172203465
135,5.4,590.3040696749563,590.302128494775,1.0,0.0,superheated,subcooled,5995390.3226789,14901287.316647563,2944567.7957269996,1436808.394403014,626.7523797340855,31055.71459892522,660.796040992442,0.030699255706110772,1.2221041284279766
136,5.44,590.3038544660847,590.3019211490292,1.0,0.0,superheated,subcooled,5995353.619277423,14900557.06852476,2944568.4069653717,1436808.3740284017,626.7511375381297,31055.783681145946,660.7946289092563,0.030561918595281123,1.2166368867548218
137,5.48,590.3036392651082,590.3017130393484,1.0,0.0,superheated,subcooled,5995316.915630893,14899826.819386348,2944569.0157265994,1436808.3537363608,626.749896819056,31055.85276739312,660.7932184666282,0.030438061377062415,1.2117062650104464
138,5.5200000000000005,590.303424070689,590.3015042404118,1.0,0.0,superheated,subcooled,5995280.211739415,14899096.569232285,2944569.6222537262,1436808.3335187898,626.7486574314648,31055.921857560803,660.7918095029805,0.030326356350723966,1.2072594088664
139,5.5600000000000005,590.3032088816198,590.3012948195443,1.0,0.0,superheated,subcooled,5995243.507603086,14898366.318062527,2944570.226765859,1436808.3133683854,626.7474192442801,31055.99095155293,660.7904018726531,0.030225606630964335,1.2032486716148223
140,5.6000000000000005,590.3029936968097,590.3010848374378,1.0,0.0,superheated,subcooled,5995206.803221989,14897636.065877033,2944570.8294605226,1436808.2932785633,626.7461821393346,31056.060049283486,660.7889954443307,0.030134733186039084,1.1996310981703457
141,5.64,590.302778515279,590.3008743488087,1.0,0.0,superheated,subcooled,5995170.098596203,14896905.812675767,2944571.4305157876,1436808.2732433877,626.7449460101049,31056.12915067422,660.7875900996384,0.0300527632560493,1.1963679640147014
142,5.68,590.3025633361445,590.3006634029838,1.0,0.0,superheated,subcooled,5995133.393725797,14896175.55845869,2944572.030092186,1436808.2532575077,626.7437107605558,31056.198255655578,660.7861857318555,0.029978819909735964,1.1934243594640113
143,5.72,590.3023481586066,590.3004520444315,1.0,0.0,superheated,subcooled,5995096.688610831,14895445.303225767,2944572.628334438,1436808.2333160993,626.7424763041129,31056.26736416404,660.7847822447752,0.02991211260731351,1.1907688139854105
144,5.76,590.3021329819464,590.3002403132401,1.0,0.0,superheated,subcooled,5995059.983251362,14894715.046976965,2944573.22537301,1436808.2134148136,626.7412425627303,31056.336476142766,660.7833795516681,0.029851928608238504,1.188372954149622
145,5.8,590.3019178055159,590.3000282455504,1.0,0.0,superheated,subcooled,5995023.277647438,14893984.789712254,2944573.8213255187,1436808.1935497301,626.7400094660494,31056.40559154032,660.7819775743473,0.02979762541720422,1.1862112029141807
146,5.84,590.3017026287317,590.299815873943,1.0,0.0,superheated,subcooled,5994986.571799104,14893254.5314316,2944574.4162979946,1436808.1737173141,626.7387769506408,31056.47471031048,660.7805762423262,0.029748623804774478,1.1842605017824235
147,5.88,590.3014874510658,590.2996032277895,1.0,0.0,superheated,subcooled,5994949.865706398,14892524.272134975,2944575.010386027,1436808.1539143797,626.7375449593245,31056.54383241184,660.7791754920628,0.029704401613849445,1.182500064245599
148,5.92,590.3012722720441,590.2993903335688,1.0,0.0,superheated,subcooled,5994913.159369357,14891794.01182235,2944575.6036757887,1436808.1341380542,626.736313440552,31056.612957806392,660.7777752662731,0.029664488085264618,1.1809111498911073
149,5.96,590.301057091237,590.2991772151518,1.0,0.0,superheated,subcooled,5994876.45278801,14891063.750493696,2944576.196244966,1436808.1143857483,626.735082347852,31056.682086460583,660.776375513316,0.029628458856441414,1.1794768653041965
150,6.0,590.3008419082603,590.2989638940588,1.0,0.0,superheated,subcooled,5994839.745962387,14890333.488148987,2944576.788163592,1436808.0946551275,626.7338516393321,31056.75121834387,660.7749761866377,0.029595931325227712,1.1781819795074726
