node,x_pos,T_hot,T_cold,x_cold,x_hot,regime_cold,regime_hot,P_cold,P_hot,H_cold,H_hot,U,h_hot,h_cold,q_cell,q_flux
54,2.16,590.3276962234821,589.9728831997821,1.0,0.0,superheated,subcooled,5998361.97709094,14960434.15935855,2943390.8977889186,1436847.624334284,627.5300582846635,31050.62150988247,661.6628677613941,6.200349334396111,246.8291932482528
55,2.2,590.3268683497262,590.0067891549425,1.0,0.0,superheated,subcooled,5998325.34388038,14959703.98194918,2943502.7479131604,1436843.8959968095,627.4617949536602,31050.641740304567,661.5869677361096,5.592506212100123,222.631616723731
56,2.24,590.3261008774521,590.0373397689924,1.0,0.0,superheated,subcooled,5998288.705458358,14958973.80465895,2943603.6387470807,1436840.5329690122,627.4001745455915,31050.666762256165,661.518451491406,5.044541696013982,200.81774267571583
57,2.2800000000000002,590.3253878561504,590.0648645463983,1.0,0.0,superheated,subcooled,5998252.062313873,14958243.627376204,2943694.6498652566,1436837.4992650729,627.34453521806,31050.696104045976,661.4565832302094,4.550555908796899,181.15270337567273
58,2.32,590.3247239215457,590.0896607177993,1.0,0.0,superheated,subcooled,5998215.414887811,14957513.450000288,2943776.754475968,1436834.7624447157,627.2942817362726,31050.72934046721,661.4007012322546,4.105230535558516,163.42478246650145
59,2.36,590.3241042378294,590.1119963852437,1.0,0.0,superheated,subcooled,5998178.7635776745,14956783.272440456,2943850.829904963,1436832.2932637492,627.2488786450863,31050.76608821086,661.3502102555532,3.7037714497305347,147.44313096061046
60,2.4,590.3235244455835,590.1321133638942,1.0,0.0,superheated,subcooled,5998142.10874185,14956053.0946149,2943917.6670451397,1436830.0653590767,627.2078441640726,31050.80600173561,661.3045747433812,3.341857008836689,133.03570895050512
61,2.44,590.3229806148438,590.1502297489355,1.0,0.0,superheated,subcooled,5998105.450703452,14955322.916449873,2943977.978874299,1436828.0549647715,627.1707447248424,31050.84876954332,661.2633127466485,3.0155914579706766,120.04743065169892
62,2.48,590.3224692027845,590.1665422337938,1.0,0.0,superheated,subcooled,5998068.789753797,14954592.737878885,2944032.4081329964,1436826.2406561482,627.1371900796049,31050.894110823498,661.2259904824072,2.721462934853599,108.33849262952225
63,2.52,590.3219870155738,590.1812282033916,1.0,0.0,superheated,subcooled,5998032.1261555245,14953862.558841998,2944081.5342454105,1436824.6031190676,627.1068289184168,31050.941772427108,661.1922174587384,2.456305620713199,97.78286706660825
64,2.56,590.3215311739972,590.1944476239617,1.0,0.0,superheated,subcooled,5997995.460145422,14953132.37928517,2944125.8795579444,1436823.1249419833,627.0793449399475,31050.991526141996,661.1616421044981,2.2172656266917623,88.26694373772939
65,2.6,590.3210990824535,590.206344748953,1.0,0.0,superheated,subcooled,5997958.791936969,14952402.199159684,2944165.914962876,1436821.7904284855,627.0544533269532,31051.04316623428,661.1339478495183,2.001770246578865,79.68830599438157
66,2.64,590.320688401022,590.2170496587242,1.0,0.0,superheated,subcooled,5997922.12172263,14951672.018421618,2944202.0649677273,1436820.5854283238,627.0318975832716,31051.096507233626,661.1088496071341,1.8075002425671585,71.95462749073083
67,2.68,590.3202970202709,590.2266796500578,1.0,0.0,superheated,subcooled,5997885.4496759195,14950941.837031376,2944234.712265025,1436819.4971850805,627.0114466940098,31051.151381936794,661.0860906163351,1.63236486487112,64.98267774168471
68,2.72,590.3199230385495,590.2353404900108,1.0,0.0,superheated,subcooled,5997848.7759532705,14950211.654953256,2944264.201851719,1436818.5141988574,626.9928925749025,31051.207639608307,661.0654396056459,1.4744793347187548,58.69742574517336
69,2.7600000000000002,590.3195647415273,590.2431275472464,1.0,0.0,superheated,subcooled,5997812.100695714,14949481.472155074,2944290.844742673,1436817.6261024922,626.9760477805795,31051.265144356883,661.0466882450337,1.3321445476896663,53.03123199401538
70,2.8000000000000003,590.3192205837311,590.2501268127239,1.0,0.0,superheated,subcooled,5997775.424030397,14948751.28860781,2944314.921318238,1436816.8235499733,626.9607434447846,31051.323773674627,661.0296488558279,1.2038287782473616,47.923120153159296
71,2.84,590.3188891719208,590.2564158205066,1.0,0.0,superheated,subcooled,5997738.746071945,14948021.104285304,2944336.6843419913,1436816.0981158481,626.9468274285427,31051.38341711794,661.0141523519321,1.088151187663481,43.31812052800482
72,2.88,590.3185692500905,590.262064478398,1.0,0.0,superheated,subcooled,5997702.066923698,14947290.919163967,2944356.3616811475,1436815.442204543,626.9341626548268,31051.44397511891,661.0000463884544,0.9838669578177042,39.16667825707421
73,2.92,590.3182596859455,590.2671358171938,1.0,0.0,superheated,subcooled,5997665.386678821,14946560.733222533,2944374.1587589495,1436814.8489686162,626.9226256105892,31051.50535791522,660.9871936964586,0.8898538901044625,35.4241198289993
74,2.96,590.3179594587244,590.2716866664823,1.0,0.0,superheated,subcooled,5997628.705421305,14945830.54644183,2944390.26076545,1436814.3122350662,626.9121049990503,31051.567484582996,660.9754705848034,0.8051003250313745,32.05017217481586
75,3.0,590.3176676482083,590.2757682641717,1.0,0.0,superheated,subcooled,5997592.02322687,14945100.35880457,2944404.8346505016,1436813.8264388978,626.9025005269292,31051.630282167025,660.9647655920288,0.7286942525732707,29.008529162948673
76,3.04,590.3173834248163,590.2794268062072,1.0,0.0,superheated,subcooled,5997555.3401637785,14944370.170295166,2944418.0309204077,1436813.3865632343,626.8937218129095,31051.69368489644,660.9549782730392,0.6598134953050897,26.266460800361852
